NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ79047451,2,9,ARCACHON,32,39,1 - SEGMENT P
ZZ756241310,2,9,ARCACHON,111,87,1 - SEGMENT P
ZZ90223853,2,9,ARCACHON,44,36,1 - SEGMENT P
ZZ701813970,2,9,ARCACHON,11,7,1 - SEGMENT P
03AA538445,2,9,ARCACHON,16,18,1 - SEGMENT P
ZZ94350257,2,9,ARCACHON,13,8,1 - SEGMENT P
ZZ87241245,2,9,ARCACHON,0,0,1 - SEGMENT P
ZZ86216179,2,9,ARCACHON,0,0,1 - SEGMENT P
ZZ91PA217802,2,9,ARCACHON,30,37,1 - SEGMENT P
ZZ91PA216878,2,9,ARCACHON,23,14,1 - SEGMENT P
ZZ700617780,2,9,ARCACHON,8,9,1 - SEGMENT P
ZZ88BA747945,2,9,ARCACHON,32,32,1 - SEGMENT P
ZZ700620080,2,9,ARCACHON,0,0,1 - SEGMENT P
ZZ700618590,2,9,ARCACHON,47,36,1 - SEGMENT P
ZZ86216178,2,9,ARCACHON,43,13,1 - SEGMENT P
ZZ700622440,2,9,ARCACHON,24,38,1 - SEGMENT P
ZZ88BA082910,2,9,ARCACHON,53,62,1 - SEGMENT P
ZZ700618100,2,9,ARCACHON,0,0,1 - SEGMENT P
ZZ700618050,2,9,ARCACHON,0,0,1 - SEGMENT P
ZZ700618110,2,9,ARCACHON,89,110,1 - SEGMENT P
2000AA208693,2,9,ARCACHON,2,3,1 - SEGMENT P
ZZ726038090,2,9,ARCACHON,76,71,1 - SEGMENT P
ZZ87BA241241,2,9,ARCACHON,37,13,1 - SEGMENT P
ZZ726038110,2,9,ARCACHON,0,6,1 - SEGMENT P
ZZ88BA079116,2,9,ARCACHON,117,105,1 - SEGMENT P
ZZ88BA777051,2,9,ARCACHON,43,28,1 - SEGMENT P
ZZ93PB001778,2,9,ARCACHON,78,50,1 - SEGMENT P
ZZ792027194,2,9,ARCACHON,48,49,1 - SEGMENT P
